address	chain_name	city	store_name	chain_code	store_code
מוטי קינד 10	יוחננוף	רחובות 	מרכז סנטרו רחובות	7290803800003	31
מורד הגיא 100	שופרסל דיל	כרמיאל	כרמיאל- קניון לב	7290027600007	342
מורד הגיא 100	שופרסל דיל	כרמיאל 	כרמיאל- קניון לב	7290027600007	342
מורדי הגטאות 6	אושר עד	בית שמש	בית שמש - גליל	7290103152017	16
מורדי הגטאות 6	אושר עד	בית שמש 	בית שמש - גליל	7290103152017	16
מוריה 2	גוד פארם	אריאל	אריאל	7290058197699	131
מוריה 2	גוד פארם	אריאל 	אריאל	7290058197699	131
מורשת ישראל 15	יוחננוף	ראשון לציון	קניון הבאר	7290803800003	42
מורשת ישראל 15	יוחננוף	ראשון לציון 	קניון הבאר	7290803800003	42
מורשת ישראל 15 , ראשון לציון	סופר פארם	ראשון לציון	נאות שקמה	7290172900007	90
מורשת ישראל 15 , ראשון לציון	סופר פארם	ראשון לציון 	נאות שקמה	7290172900007	90
מושב אחיטוב	אלונית בקיבוץ ובמושב	אחיטוב	אחיטוב	7290492000005	719
מושב אחיטוב	אלונית בקיבוץ ובמושב	אחיטוב 	אחיטוב	7290492000005	719
מושב בית יהושוע	אלונית בקיבוץ ובמושב	בית יהושע	בית יהושע	7290492000005	706
מושב בית יהושוע	אלונית בקיבוץ ובמושב	בית יהושע 	בית יהושע	7290492000005	706
מושב גאליה, כביש רחובות יבנה	מיני סופר אלונית	גאליה	גאליה	7290492000005	928
מושב גאליה, כביש רחובות יבנה	מיני סופר אלונית	גאליה 	גאליה	7290492000005	928
מושב ישרש	אלונית בקיבוץ ובמושב	ישרש	ישרש	7290492000005	722
מושב ישרש	אלונית בקיבוץ ובמושב	ישרש 	ישרש	7290492000005	722
מושב לכיש	אלונית בקיבוץ ובמושב	לכיש	לכיש	7290492000005	717
מושב לכיש	אלונית בקיבוץ ובמושב	לכיש 	לכיש	7290492000005	717
מושב מכמורת	אלונית בקיבוץ ובמושב	מכמורת	מכמורת	7290492000005	721
מושב מכמורת	אלונית בקיבוץ ובמושב	מכמורת 	מכמורת	7290492000005	721
מושב נהלל	אלונית בקיבוץ ובמושב	נהלל	נהלל	7290492000005	724
מושב נהלל	אלונית בקיבוץ ובמושב	נהלל 	נהלל	7290492000005	724
מושב נווה ירק	אלונית בקיבוץ ובמושב	נווה ירק	נווה ירק  מושב	7290492000005	709
מושב נווה ירק	אלונית בקיבוץ ובמושב	נווה ירק 	נווה ירק  מושב	7290492000005	709
מושב נורדיה	אלונית בקיבוץ ובמושב	נורדיה	נורדיה	7290492000005	726
מושב נורדיה	אלונית בקיבוץ ובמושב	נורדיה 	נורדיה	7290492000005	726
מושב ניר בנים	מיני סופר אלונית	ניר בנים	ניר בנים	7290492000005	839
מושב ניר בנים	מיני סופר אלונית	ניר בנים 	ניר בנים	7290492000005	839
